id,query_string,repository_id,repository_url,project_url,version,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
135,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/120768,,Evaluation of the HAL® lumbar type exoskeleton in long-term care : protocol for a mixed-methods feasibility study,"Background: Lower back pain (LBP) is one of the most common occupational health issues among healthcare professionals, particularly in long-term care settings. The HAL® Lumbar Type Exoskeleton is a wearable assistive technology designed to reduce strain on the lower back during physically demanding care activities. However, evidence regarding its feasibility, usability, and acceptance in real-world long-term care settings remains limited.

Objective: This study aims to evaluate the feasibility, usability, and user acceptance of the HAL® Lumbar Type Exoskeleton in long-term care facilities. Specifically, the study assesses whether the exoskeleton can reduce self-reported lower back pain and improve the ergonomic conditions for caregivers.

Methods: This is a non-randomized, exploratory interventional feasibility study using a mixed-methods design. A total of 30 caregivers from two long-term care facilities will participate in a 90-day intervention. The exoskeleton will be integrated into daily care routines, and caregivers will undergo training on its proper use.

Quantitative measures include: Visual Analog Scale (VAS) for pain assessment before and after using the exoskeleton. Oswestry Disability Index (ODI) and Short-Form Health Survey (SF-8) at baseline (T1), mid-study (T2), and post-intervention (T3). Qualitative methods include semi-structured interviews with eight caregivers, exploring usability, perceived benefits, and barriers to adoption.

Results: Data will be analyzed using descriptive statistics, repeated measures ANOVA, and thematic content analysis for qualitative data. Findings will inform future studies on integrating wearable assistive technologies into caregiving workflows.

Discussion: This study will provide essential insights into the feasibility and usability of exoskeletons in long-term care, potentially contributing to improved ergonomic conditions and caregiver well-being.",eng,http://dx.doi.org/10.25673/120768,2025,2026-04-14T19:41:53.836600+00:00,opendata,1981185920_122723_Evaluation_of_the_HAL®_lumbar_type_exoskeleton_in_long-term_care___protocol_for_a,,SCRAPING
136,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/116453,,Moral disengagement in the media discourses on meat and dairy production systems,"Meat and dairy production and consumption are the subject of ongoing public debates that touch on various sustainability issues such as biodiversity loss, climate change, animal welfare, and social and health aspects. Despite extensive discussions specifically relating to the environmental impacts of livestock farming in conjunction with animal welfare aspects, there have been no substantial changes in production or consumption patterns. Moreover, the focus of extant research is usually on consumers' responses to public concerns around livestock production. In this study, we shed light on the discrepancy between the normative discourse and action of relevant value chain actors with the help of Bandura's theory of moral disengagement, which allows us to identify mechanisms that contribute to the perpetuation of unsustainable production and consumption patterns. In particular, we focus on the shifting of responsibility between actors in the normatively charged field of sustainable livestock production. We collected 109 media interviews on meat and dairy production and consumption from the years 2020–2022, including interviews with actors from agriculture, processing industries, and food retail. Using qualitative content analysis, we investigated the role of moral disengagement in the media discourse on meat and dairy production and explored differences between actors in terms of moral disengagement. We found that shifting of responsibility shows a quasi-circular dynamic of being shifted from all actors to all, in our case most frequently to consumers, politics, and (diffuse) economic forces. In addition, our analysis showed the use of social justifications, beneficial comparisons, and euphemistic labelling to be common mechanisms of moral disengagement, constituting a collective problem within agri-food systems.",eng,http://dx.doi.org/10.25673/116453,2024,2026-04-14T19:42:00.100239+00:00,opendata,1981185920_118408_Moral_disengagement_in_the_media_discourses_on_meat_and_dairy_production_systems,,SCRAPING
137,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/115294,,Die Bildungssituation autistischer Kinder und Jugendlicher in Schleswig-Holstein,"In dieser explorativen Vorstudie wurde die „Bildungssituation autistischer Kinder und Jugendlicher in Schleswig-Holstein“ untersucht, mit einem Fokus auf die Verbesserung von Unterstützungsstrukturen durch das Landesförderzentrum Autistisches-Verhalten (LFZ-AV). Mittels qualitativer Methoden, darunter Expert:innen- und Fokusgruppeninterviews mit 69 Beteiligten und qualitativer Inhaltsanalyse, identifiziert die Studie drei zentrale Handlungsfelder: Entwicklung autismussensibler inklusiver Schulentwicklung, Professionalisierung der Bildungsakteure im Umgang mit dem Autismus-Spektrum und die Gestaltung inklusiver schulbiographischer Übergänge. Die Ergebnisse zeichnen ein überwiegend positives Bild der Bildungssituation in Schleswig-Holstein, heben jedoch auch die Bedeutung gezielter Verbesserungen und weiterer Forschung in den genannten Bereichen hervor. Die Studie unterstreicht schlussendlich auch die Effektivität und die bundesweite Vorreiterrolle des Beratungssystems durch das Landesförderzentrum Autistisches-Verhalten.",deu,http://dx.doi.org/10.25673/115294,2024-03,2026-04-14T19:42:09.568816+00:00,opendata,1981185920_117249_Die_Bildungssituation_autistischer_Kinder_und_Jugendlicher_in_Schleswig-Holstein,,SCRAPING
138,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/117952,,"What does ""urgency"" mean when prioritizing cancer treatment? Results from a qualitative study with German oncologists and other experts during the COVID-19 pandemic","Purpose:

Cancer care in Germany during the COVID-19 pandemic was affected by resource scarcity and the necessity to prioritize medical measures. This study explores ethical criteria for prioritization and their application in cancer practices from the perspective of German oncologists and other experts.
Methods:

We conducted fourteen semi-structured interviews with German oncologists between February and July 2021 and fed findings of interviews and additional data on prioritizing cancer care into four structured group discussions, in January and February 2022, with 22 experts from medicine, nursing, law, ethics, health services research and health insurance. Interviews and group discussions were digitally recorded, transcribed verbatim and analyzed using qualitative content analysis.
Results:

Narratives of the participants focus on “urgency” as most acceptable criterion for prioritization in cancer care. Patients who are considered curable and those with a high level of suffering, were given a high degree of “urgency.” However, further analysis indicates that the “urgency” criterion needs to be further distinguished according to at least three different dimensions: “urgency” to (1) prevent imminent harm to life, (2) prevent future harm to life and (3) alleviate suffering. In addition, “urgency” is modulated by the “success,” which can be reached by means of an intervention, and the “likelihood” of reaching that success.
Conclusion:

Our analysis indicates that while “urgency” is a well-established criterion, its operationalization in the context of oncology is challenging. We argue that combined conceptual and clinical analyses are necessary for a sound application of the “urgency” criterion to prioritization in cancer care.",eng,http://dx.doi.org/10.25673/117952,2024,2026-04-14T19:42:16.472381+00:00,opendata,1981185920_119912_What_does__urgency__mean_when_prioritizing_cancer_treatment__Results_from_a_qualit,,SCRAPING
139,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/85340,,Halle-Neustadt als dynamisches Ankunftsquartier nach dem langen Sommer der Migration – Migrantische Aushandlungs- und Aneignungspraktiken in einer ostdeutschen Großwohnsiedlung,"Urban spaces are changing through transnational migration processes and the increasing diversification of society. Thereby immigration is concentrated in specific urban areas, regarded as arrival spaces or neighbourhoods. The impact of urban arrival spaces also has also been the focus of media, scientific and (departmental-)policy in Germany, particularly regarding the immigration of refugees since 2015. In geographical and sociological urban research, the structures and networks of these arrival spaces are examined in how they affect arrival processes of such district-newcomers. Consequently, challenges and opportunities can be recognized and deliberately promoted. This paper discusses the meaning of the district Halle-Neustadt as an arrival space for immigrants who moved there from 2015 onwards, focussing on processes of appropriation and negotiation in their day-to-day life. The research builds on discussions about arrival spaces in Germany and attempts to illuminate blind spots and contradictions on previous concepts about arrival areas. The large East German housing estate Halle-Neustadt, which marks the western outskirt of Halle (Saale), has undergone rapid change since the beginning of the 1990s. Through guided interviews, immigrants’ perceptions of the area are recounted, carving out the meaning and the role of Halle-Neustadt as a potential arrival area. Interview partners were newcomers from Syria, Afghanistan, and Iran who migrated since 2015 to Germany. The analysis considers the choice of residential locations, as well as the individual expectation and experience of one as a newcomer. Based on this, the general wellbeing, and the valuation of the district, plus the neighbourhood relationship and social contacts were questioned.",deu,http://dx.doi.org/10.25673/85340,2021,2026-04-14T19:42:23.387444+00:00,opendata,1981185920_87292_Halle-Neustadt_als_dynamisches_Ankunftsquartier_nach_dem_langen_Sommer_der_Migratio,,SCRAPING
140,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/117058,,Mundgesundheit im Pflegeheim als interprofessionelle Aufgabe : Ergebnisse einer qualitativen Befragung von Pflegefachpersonen und Zahnärzt*innen zu ihrer aktuellen und zukünftigen Zusammenarbeit,"Hintergrund:

Menschen mit Pflegebedarf haben im Vergleich zu Gleichaltrigen ohne Pflegebedarf eine signifikant schlechtere Mundgesundheit. International wird diesen Herausforderungen verstärkt durch interprofessionelle Zusammenarbeit und erweiterte Rollen von Pflegefachpersonen begegnet. Dieser Beitrag untersucht die Sichtweisen von Zahnärzt*innen und Pflegefachpersonen in Deutschland auf ihre aktuelle und künftige Zusammenarbeit in Pflegeheimen.
Methode:

Es wurden 8 Experteninterviews mit jeweils 4 praktizierenden Zahnärzt*innen und Pflegefachpersonen aus der Region Westfalen-Lippe via Zoom oder telefonisch durchgeführt. Das vollständig transkribierte Interviewmaterial wurde mittels thematischem Kodieren fallbezogen und fallübergreifend ausgewertet.
Ergebnisse:

Für eine Förderung der Mundgesundheit von Heimbewohner*innen ist aus Sicht der Befragten die Zusammenarbeit von Zahnärzt*innen und Pflegefachpersonen unabdingbar. Sie schildern Zeit- und Kompetenzmangel in der Mund- und Zahnversorgung von Heimbewohner*innen, denen mit neuen Verantwortlichkeitsrollen für speziell qualifizierte Pflegefachpersonen in Kooperation mit den Zahnärzt*innen begegnet werden sollte. Zugleich sprechen sie sich für eine stärkere Verankerung und Einbettung (zahn)medizinischer Versorgung in den Abläufen in Pflegeheimen aus.
Schlussfolgerung:

Neue Kooperationsformen zwischen Zahnärzt*innen und Pflegefachpersonen in Pflegeheimen sollten in Deutschland erprobt und weiter ausgebaut werden.",deu,http://dx.doi.org/10.25673/117058,2023,2026-04-14T19:42:32.064259+00:00,opendata,1981185920_119018_Mundgesundheit_im_Pflegeheim_als_interprofessionelle_Aufgabe___Ergebnisse_einer_qu,,SCRAPING
141,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/85311,,Are existing quality-of-life instruments in cutaneous T-cell lymphoma of sufficient quality?,"Cutaneous T-cell lymphoma (CTCL) is a rare type of non-Hodgkin lymphoma. However, non-Hodgkin lymphoma is ranked as the seventh most common cancer in the USA.1 In CTCL, mutated T cells migrate to the skin, and lesions on the skin tend to appear. Mycosis fungoides (MF) and Sézary syndrome (SS) are the most prevalent forms of CTCL.2 Pruritus, one of the most prominent symptoms of the disease, often leads to scratching, which in turns causes painful skin and can lead to disfigurement of affected patients. This negatively impacts their quality of life (QoL).3

Instruments measuring QoL are of great interest as they capture the patient’s perspective. Their use in clinical trials is increasingly recognized by regulatory authorities, clinicians and patients because they help to indicate whether the impact of an intervention is comprehensively assessed.4

In this issue of the BJD, Bhat et al.5 use qualitative research to assess the impact of CTCL on patients’ daily lives and to identify the most meaningful aspects in assessing QoL in CTCL. This is achieved by evaluating existing QoL instruments (generic, skin specific and disease specific). Generic instruments (e.g. the 36-Item Short-Form Health Survey) and skin-specific instruments (e.g. the Dermatology Life Quality Index) cannot capture CTCL-specific constructs. However, the only existing CTCL-specific measure, the MF/SS-CTCL instrument, did not include patients with advanced-stage disease in either the development or validation.6

In their study, Bhat et al. included patients at all stages of the disease. This assessment across various severity stages is novel. Eighteen semistructured interviews revealed three major themes: clinical symptoms, psychological and social functioning, and the salient treatment burden. Existing QoL instruments were screened for relevant patient concerns identified in the interviews. In particular, individual clinical symptoms, concerns about appearance and problems with sleep were not adequately represented in either generic or skin-specific instruments, or in the only existing CTCL-specific QoL measure. For this reason, there is currently no available QoL instrument of sufficient quality in CTCL.

Qualitative research involving affected patients, as performed by the authors, is the gold standard for the development of a promising patient-reported outcome measure. Without patient input, the content validity of a new instrument can be questioned. Only patients are able to judge the impact of their disease, their feelings and their treatment burden. For this reason, this study including interviews with patients with variations in severity represents an excellent starting point for the development of a new, comprehensive, disease-specific QoL instrument of sufficient quality for patients with CTCL.",eng,http://dx.doi.org/10.25673/85311,2021,2026-04-14T19:42:39.083737+00:00,opendata,1981185920_87262_Are_existing_quality-of-life_instruments_in_cutaneous_T-cell_lymphoma_of_sufficient,,SCRAPING
142,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/36841,,Spannungsfeld Schwangerschaftskonfliktberatung : Eine qualitative Interviewstudie über Grenzen und Möglichkeiten beraterischen Handelns im Kontext des §219 StGB,"Die vorliegende Arbeit befasst sich mit den Grenzen und Möglichkeiten
beraterischen Handelns im Kontext des §219 StGB. Die Erkenntnisse sind auf
Grundlage der Durchführung von vier Expert*inneninterviews mit Berater*innen
aus der Schwangerschaftskonfliktberatung gewonnen worden. Die Auswertung
der Interviews ist mittels einer qualitativen Inhaltsanalyse nach Mayring (2015)
erfolgt. Zentrale Erkenntnisse der Arbeit sind die in Teilen wahrgenommene
Begrenzung durch den Pflichtkontext seitens der Berater*innen und die
einheitliche Kritik an der Verortung im StGB. Gleichzeitig wurde die Erkenntnis
gewonnen, dass die Freiwilligkeit mehrheitlich als Ideal gesehen, die tägliche
Arbeit in dem Minimalkompromiss der Gesetzgebung jedoch akzeptiert wird.
Zentrale theoretische Grundlagen lieferten dabei Helfferich (2015) und Franz
(2015) sowie Koschorke (2019) mit ihren Ausführungen zum Spannungsfeld der
Schwangerschaftskonfliktberatung.",deu,http://dx.doi.org/10.25673/36841,2021-06-07,2026-04-14T19:42:45.356788+00:00,opendata,1981185920_37073_Spannungsfeld_Schwangerschaftskonfliktberatung___Eine_qualitative_Interviewstudie_ü,,SCRAPING
143,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/120297,,Entwicklung und Einsatz eines Instrumentes zur Bewertung von Risiken in der Arzneimitteltherapiesicherheit bei Patienten neonatologischer Intensivstationen,"Kinder auf neonatologischen Intensivstationen sind im Medikationsprozess deutlich höheren Gefahren durch unerwünschte Arzneimittelwirkungen (UAW) ausgesetzt als Erwachsene. Untersucht wird, ob mit Methoden des Qualitäts- und Risikomanagements potenzielle Risiken der Arzneimitteltherapie bereits prospektiv ermittelt und die Schwere ihrer Auswirkungen bewertet werden kann. Standards neonatologischer  Intensivstationen wurden mit einem adaptierten Ishikawa-Diagramm Risiken identifiziert und in einer FMEA von ärztlichen/pflegerischen Mitarbeitern bewertet. Zudem fanden Experteninterviews statt. Die genutzten Methoden ermöglichen die prospektive Ermittlung von Risiken („ohne Folgen“ - „Tod“) bezüglich des Schweregrades der Auswirkungen bei (vermeidbaren) UAW. Beim Thema “Injektion“ und „Infusion“ zeigt sich Handlungsbedarf. Die ermittelten Risiken und Auswirkungen zeigen, dass Schulungsmaßnahmen und die Neugestaltung von Standards sinnvoll und Beitrag zur Steigerung der Patientensicherheit sind.",deu,http://dx.doi.org/10.25673/120297,2025,2026-04-14T19:42:51.667360+00:00,opendata,1981185920_122255_Entwicklung_und_Einsatz_eines_Instrumentes_zur_Bewertung_von_Risiken_in_der_Arznei,,SCRAPING
144,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/38223,,Cognitive training for robotic surgery : a chance to optimize surgical training? : a pilot study,"The rapid rise of robotic-assisted surgery (RAS) has necessitated an efficient and standardized training curriculum. Cognitive training (CT) can significantly improve skills, such as attention, working memory and problem solving, and can enhance surgical capacity and support RAS training. This pilot study was carried out between 02/2019 and 04/2019. The participants included 33 student volunteers, randomized into 3 groups: group 1 received training using the da Vinci training simulator, group 2 received computer-based cognitive training, and group 3 was the control group without training. Before (T1) and after-training (T2), performance was measured. Additionally, expert ratings and self-evaluations were collected. Subjective evaluations of performance were supplemented by evaluations based on three scales from the revised NEO Personality Inventory (NEO PI-R). In total, 25 probands remained with complete data for further analyses: n = 8 (group 1), n = 7 (group 2) and n = 10 (group 3). There were no significant differences in T1 and T2 among all three groups. The average training gain of group 1 and 2 was 15.87% and 24.6%, respectively, (a restricting condition is the loss of the last training session in group 2). Analyses of semi-structured psychological interviews (SPIs) revealed no significant differences for T1, but in T2, significance occurred at ‘self-reflection’ for group 2 (F(2.22) = 8.56; p < .005). The efficacy of CT in training highly complex and difficult procedures, such as RAS, is a proven and accepted fact. Further investigation involving higher numbers of training trials (while also being cost effective) should be performed.",eng,http://dx.doi.org/10.25673/38223,2020,2026-04-14T19:43:09.589427+00:00,opendata,1981185920_38466_Cognitive_training_for_robotic_surgery___a_chance_to_optimize_surgical_training,,SCRAPING
145,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/120864,,Follow-up rescreening uptake and persistent positive rates among women after positive cervical cancer screening results in Ethiopia : a longitudinal cross-sectional study,"Objective To assess cervical cancer screening positivity rates, follow-up rescreening uptake 1 year after treatment and persistent positivity among women with initial positive screening results in Ethiopia. The study also explored reasons for loss to follow-up and preferences for reminder strategies.

Design Longitudinal cross-sectional study.

Settings 10 primary healthcare facilities in Oromia and southern and central Ethiopia.

Participants From November 2022 to April 2024, 17 586 women screened for cervical cancer. Of these 768 (4.4%) had positive screening results, and 515 women treated at the primary level were included to assess follow-up rescreening uptake. An additional 139 women who did not return for follow-up were interviewed to identify reasons for non-uptake and reminder preferences.

Result Of the 515 women included in the analysis, 179 (34.8%, 95% CI: 30.6% to 38.8%) returned for follow-up rescreening. Among those re-screened, the persistent visual inspection with acetic acid (VIA) positivity rate was 16.1% (95% CI: 11.0% to 21.7%). Factors significantly associated with follow-up rescreening uptake included age over 40 (adjusted OR (AOR): 2.5; 95% CI: 1.34 to 5.00), urban residence (AOR: 1.7; 95% CI: 1.15 to 2.58), secondary or higher education (AOR: 2.0; 95% CI: 1.06 to 4.12) and HIV-positive status (AOR: 2.4; 95% CI: 1.27 to 4.87). Among the 139 women contacted, the main reasons for non-uptake were lack of time, forgetting appointments, visiting another facility and pregnancy. Regarding preferred reminders, 93% favoured text messages and all agreed to phone calls or home visits.

Conclusion One-third of women adhered to follow-up rescreening after a positive cervical cancer screening in Ethiopia, revealing a considerable gap since those women had a three times higher chance of being VIA positive compared with the first screening. Older age, urban residence, higher education and HIV-positive status were significantly linked to follow-up rescreening uptake. Addressing barriers such as time constraints and forgotten appointments through tailored reminder strategies is essential for improving the follow-up rescreening uptake. Contextualised interventions can strengthen rescreening for finding those women at very high risk for cervical lesions and strengthen cervical cancer prevention in Ethiopia.",eng,http://dx.doi.org/10.25673/120864,2025,2026-04-14T19:43:15.358803+00:00,opendata,1981185920_122820_Follow-up_rescreening_uptake_and_persistent_positive_rates_among_women_after_posit,,SCRAPING
146,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/119062,,"Social work in rehabilitation : roles, interventions, and a new theoretical model","Health related social work is a versatile profession forrehabilitation. Depending on the country andrehabilitation model, health related social work should bean important part of the rehabilitation workforce. Supportfor patients’ social and vocational participation and theorganisation of after-care are social work’s tasks.International research suggests the effectiveness of socialwork interventions for certain rehabilitation indications,but the transferability of these results to different settingsor countries is unclear. Theory can help to overcome thisproblem. Based on a qualitative dataset from a Germanhealth services research project, we developed aprogramme theory of social work in rehabilitation. Socialworkers address contextual factors through informationwork, planning work and supporting applications. Patientsare empowered to enhance the potential positive effectsof environmental factors by themselves, too. The combinedapplication of these work types by social workers results ina unique contribution in the rehabilitation workforce.",eng,http://dx.doi.org/10.25673/119062,2025,2026-04-14T19:43:22.557349+00:00,opendata,"1981185920_121018_Social_work_in_rehabilitation___roles,_interventions,_and_a_new_theoretical_model",,SCRAPING
147,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/62572,,Die Lebenswelt von berufstätigen Personen mit gleichzeitiger Erziehungs- und Pflegeverantwortung : eine phänomenologische Studie,"Die höhere Lebenserwartung, der Trend zur späteren Familiengründung und die steigende Erwerbstätigkeit von Frauen führen dazu, dass Personen im mittleren Lebensalter gleichzeitig mit Sorgeerfordernissen für minderjährige Kinder und für pflegebedürftige Angehörige konfrontiert werden, die sie mit einer Berufstätigkeit vereinbaren. Das Ziel der Arbeit war, Erkenntnisse zur gelebten Erfahrung dieser Personen und ihrer Wahrnehmung von (pflege-)professionellen Unterstützungsangeboten zu gewinnen. Es wurden narrative Interviews mit 16 berufstätigen Personen geführt, die gleichzeitig Erziehungsverantwortung für minderjährige Kinder tragen und für pflegebedürftige Angehörige sorgen. Im Rahmen einer interpretativ-phänomenologischen Analyse wurden Themen und das konstitutive Muster herausgearbeitet, welche die gelebte Erfahrung der Befragten beschreiben.",deu,http://dx.doi.org/10.25673/62572,2021,2026-04-14T19:43:27.962187+00:00,opendata,1981185920_64523_Die_Lebenswelt_von_berufstätigen_Personen_mit_gleichzeitiger_Erziehungs-_und_Pflege,,SCRAPING
148,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/3794,,Auswirkungen des Wandels der Gesundheitspolitik in Deutschland in den letzten 5 Jahren auf die Stellung des Hausarztes,"Die vorliegende Arbeit untersucht aus dem Blickwinkel der Hausärzte und Patienten die Veränderungen der Arzt-Patientenbeziehung in Deutschland in den letzten Jahren. Dazu wurden insgesamt 200 Hausärzte und 500 Patienten interviewt. Es sind deutliche Veränderungen in der Rolle des Hausarztes sichtbar, der zunehmend als Lebensberater fungiert und sich im psychologischen Spagat zwischen Ökonomie und persönlichen und gesellschaftlichen Ansprüchen an seine Tätigkeit befindet. Zunehmend kritische und stärker informierte Patienten erfordern mehr Zuwendung und Aufklärung für die aber nicht genügend zeitliche Ressourcen zur Verfügung stehen. Die Patienten verspüren den zunehmenden Druck, der auf den Hausärzten lastet und haben selbst nur geringe Kenntnisse zu den ökonomischen Rahmenbedingungen einer Hausarztpraxis. Diese Veränderungen sind das Ergebnis der Gesundheitspolitik der letzten Jahre, die auch häufig nicht als sachlich korrekte Information den Patienten erreicht. Hintergrund dieser Entwicklung ist der von der Politik gewollte Sparkurs, der die defizitäre Situation der gesetzlichen Krankenkassen verbessern soll. Diese Tendenzen und eine hinzukommende ungünstige Altersstruktur (Durchschnittsalter der Hausärzte 52,4 Jahre) können in absehbarer Zeit die Hausarztmedizin deutlich gefährden.",deu,http://dx.doi.org/10.25673/3794,2008,2026-04-14T19:43:35.582960+00:00,opendata,1981185920_10579_Auswirkungen_des_Wandels_der_Gesundheitspolitik_in_Deutschland_in_den_letzten_5_Jah,,SCRAPING
149,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/14130,,Integrativer Umgang mit Drogen : Jugendliche zwischen Paranoia und Spiritualität ; eine Exploration qualitativer Ergebnisse aus der RISA-Längsschnittstudie,"Die Dissertation untersucht anhand von qualitativen Interviews biographisch relevante Faktoren und Prozesse bei der entwicklungspsychologischen Integration von Drogenerfahrungen. Als Datengrundlage dienen narrative und problemzentrierte Interviews mit 14 Jugendlichen, die über einen Zeitraum von 8 Jahren (insg. 66 Interviews) innerhalb der salutogenetisch orientierten RISA* Langzeitstudie erhoben wurden. Leitende Fragestellungen sind unter anderem: Mit welchen Herausforderungen sehen sich Jugendliche während der Adoleszenz konfrontiert? Wie gehen sie damit um? Welche Strategien werden entwickelt? Wo finden sie Unterstützung und Ressourcen? Und schließlich: Welchen Sinn sehen die Jugendlichen selbst in ihren Erfahrungen mit psychoaktiven Substanzen? Auf theoretischer Ebene wird ein Modell entwickelt, mit dem sich komplexe Integrationsprozesse beschreiben und analysieren lassen. Die empirischen Ergebnisse eröffnen darüber hinaus einen einzigartigen Einblick in die faszinierende Lebenswelt Jugendlicher und junger Erwachsener.* (RISA = Ritualdynamik beim Gebrauch & Missbrauch psychoaktiver Substanzen, DFG Sonderforschungsbereich 619)",deu,http://dx.doi.org/10.25673/14130,2019,2026-04-14T19:43:42.476313+00:00,opendata,1981185920_14266_Integrativer_Umgang_mit_Drogen___Jugendliche_zwischen_Paranoia_und_Spiritualität_;,,SCRAPING
150,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/85954,,Aqdam nusḫa maḫṭūṭa muʾarraḫa li-kitāb Kalīla wa-Dimna / [Bīdpāī] ; ʿuniya bi-našrihā al-ab Luwīs Šaiḫū al-yasūʿī,Mutmaßlicher Verfasser: Bīdpāʾī,ara,http://dx.doi.org/10.25673/85954,1923,2026-04-14T19:44:04.106869+00:00,opendata,1981185920_87907_Aqdam_nusḫa_maḫṭūṭa_muʾarraḫa_li-kitāb_Kalīla_wa-Dimna___[Bīdpāī]_;_ʿuniya_bi-našri,,SCRAPING
151,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/37218,,Belastungen und Beanspruchungen von Angehörigen von Patienten mit ARDS auf Intensivstation : Eine qualitative Interviewstudie anhand eines Belastungs-Beanspruchungs-Modells,"Die Zielsetzung dieser wissenschaftlichen Arbeit war es, die Belastungen und Beanspruchungen von Angehörigen von Patienten mit akutem Lungenversagen auf Intensivstation zu explorieren und anhand eines Belastungs-Beanspruchungs-Modells als theoretischer Grundlage zu analysieren. Zur Datenerhebung wurden semi-standardisierte qualitative Interviews durchgeführt. 35 Familien wurden während ihres Besuchs auf der Intensivstation zur Teilnahme eingeladen. Es nahmen 17 Angehörige (im Alter von 26 – 71 Jahren, 9 davon Frauen) teil. Eine systematische Inhaltsanalyse wurde anhand des hier gewählten Belastungs-Beanspruchungs-Modells durchgeführt. Es konnten zahlreiche Belastungen identifiziert werden: Belastungen während der Besuche, Belastungen, die zu Hause auftreten und Belastungen durch die Organisation der Besuche. Diese Belastungen wurden von den Teilnehmern sehr einheitlich beschrieben. Dennoch variierte die Beanspruchung, die sich aus diesen Belastungen ergab. Zusammengefasst stellt diese Studie die zahlreichen Belastungen und Beanspruchungen von Angehörigen von Patienten mit ARDS dar. Einige Belastungen sind dem lebensbedrohlichen Zustand des Familienmitglieds geschuldet, andere ergeben sich aus den Strukturen auf der Intensivstation und im Alltag der Teilnehmer und könnten modifiziert werden. Das Ausmaß an Beanspruchung, das Angehörige erleben, steht im Zusammenhang mit dem Einfluss moderierender Variablen wie sozialer Unterstützung und Bewältigungsstrategien.",deu,http://dx.doi.org/10.25673/37218,2020,2026-04-14T19:48:32.109155+00:00,opendata,1981185920_37452_Belastungen_und_Beanspruchungen_von_Angehörigen_von_Patienten_mit_ARDS_auf_Intensiv,,SCRAPING
152,OAI-PMH full harvest,16,https://opendata.uni-halle.de,http://dx.doi.org/10.25673/120882,,Impact of antidiabetic medication on therapy outcomes in metastatic urothelial cancer patients receiving Enfortumab Vedotin monotherapy,"Objectives: The aim of this study was to assess the association of diabetes mellitus and its medications with overall response (ORR) and mortality or cancer-specific survival (CSS) in patients with metastatic urothelial cancer receiving enfortumab vedotin monotherapy. Methods: This multicentre retrospective cohort study was designed according to the guidelines for the synthesis of qualitative research (ENTREQ). Eligible patients were adults (≥18) years treated with enfortumab vedotin monotherapy for metastatic urothelial cancer between June 2024 and January 2025. A total of 125 patients were reported across 11 centres. Results: The cohort included 93 males (74.4%) and 32 females (25.6%), with a mean age of 68.3 years (SD 9.3). The primary tumour site was the bladder in 109 (87.2%) cases and the upper tract (UTUC) in 16 (12.8%) cases. Interestingly, medication with metformin was significantly associated with cancer-specific mortality (37.9% versus 77.8%; p = 0.019), while patients with insulin-dependent diabetes mellitus had a significantly better CSS (Log Rank = 0.004). Upon comparing only patients who already had diabetes mellitus and then received anti-diabetic medication, there was a significant association between patients with diabetes mellitus receiving metformin and a worse 3-month ORR (80.0% versus 55.6%; p = 0.039). Regarding the subpopulation of UTUC, cancer-specific mortality was significantly associated with metformin medication (p = 0.033). Conclusions: Despite recent reports that metformin has protective effects in urothelial cancer, our findings suggest that metformin use may be linked to worse responses and survival outcomes in patients treated with enfortumab vedotin monotherapy. Further research, particularly translational research into the underlying diabetic and pharmacologic pathways, is warranted.",eng,http://dx.doi.org/10.25673/120882,2025,2026-04-14T19:48:37.636543+00:00,opendata,1981185920_122838_Impact_of_antidiabetic_medication_on_therapy_outcomes_in_metastatic_urothelial_can,,SCRAPING
